Time,X,Y,Z
110.8,0,65.43779735,45.14251263
110.9,0,65.3943132,45.02834005
111,0,65.35062985,44.91424353
111.1,0,65.30674744,44.80022343
111.2,0,65.26266609,44.68628009
111.3,0,65.21838593,44.57241387
111.4,0,65.17390711,44.4586251
111.5,0,65.12922976,44.34491413
111.6,0,65.08435401,44.23128131
111.7,0,65.03928001,44.11772699
111.8,0,64.99400788,44.00425151
111.9,0,64.94853777,43.89085522
112,0,64.90286982,43.77753846
112.1,0,64.85700416,43.66430158
112.2,0,64.81094094,43.55114492
112.3,0,64.76468029,43.43806883
112.4,0,64.71822235,43.32507366
112.5,0,64.67156728,43.21215973
112.6,0,64.6247152,43.09932741
112.7,0,64.57766626,42.98657704
112.8,0,64.53042061,42.87390895
112.9,0,64.48297839,42.76132349
113,0,64.43533974,42.64882101
113.1,0,64.38750481,42.53640184
113.2,0,64.33947375,42.42406633
113.3,0,64.29124669,42.31181482
113.4,0,64.2428238,42.19964766
113.5,0,64.19420521,42.08756518
113.6,0,64.14539107,41.97556772
113.7,0,64.09638153,41.86365563
113.8,0,64.04717675,41.75182926
113.9,0,63.99777687,41.64008893
114,0,63.94818203,41.52843498
114.1,0,63.89839241,41.41686777
114.2,0,63.84840813,41.30538763
114.3,0,63.79822936,41.1939949
114.4,0,63.74785626,41.08268991
114.5,0,63.69728896,40.97147301
114.6,0,63.64652763,40.86034454
114.7,0,63.59557243,40.74930483
114.8,0,63.5444235,40.63835423
114.9,0,63.493081,40.52749306
115,0,63.44154509,40.41672168
115.1,0,63.38981593,40.30604041
115.2,0,63.33789367,40.19544959
115.3,0,63.28577848,40.08494956
115.4,0,63.2334705,39.97454066
115.5,0,63.1809699,39.86422322
115.6,0,63.12827685,39.75399758
115.7,0,63.07539149,39.64386408
115.8,0,63.022314,39.53382304
115.9,0,62.96904453,39.42387481
116,0,62.91558324,39.31401972
116.1,0,62.8619303,39.20425811
116.2,0,62.80808588,39.0945903
116.3,0,62.75405013,38.98501664
116.4,0,62.69982322,38.87553746
